kode,nama,ranking,klaster,input,proses,output,outcome,total
113025,Sekolah Tinggi Ilmu Ekonomi Samarinda,1640,5,0.357,1.609,0.002,0.000,0.474
091008,Universitas Pepabri Makassar,1641,5,1.195,0.938,0.000,0.000,0.474
033044,Sekolah Tinggi Ilmu Ekonomi Nasional Indonesia,1642,5,0.868,1.195,0.000,0.000,0.472
033072,Sekolah Tinggi Ilmu Ekonomi IGI,1643,5,1.078,1.026,0.000,0.000,0.472
023135,STIKES Adila,1644,5,1.000,1.088,0.000,0.000,0.472
033147,Sekolah Tinggi Ilmu Kesehatan Istara Nusantara,1645,5,0.233,1.701,0.000,0.000,0.472
093163,Sekolah Tinggi Ilmu Kesehatan St Fatimah,1646,5,0.000,1.346,0.000,0.450,0.471
043189,Sekolah Tinggi Teknologi Dr Kh Ez Muttaqien,1647,5,1.000,1.051,0.031,0.000,0.471
013175,STIKES Widya Husada Medan,1648,5,0.079,1.814,0.000,0.000,0.469
043132,Sekolah Tinggi Teknologi Industri dan Farmasi Bogor,1649,5,0.117,1.500,0.127,0.131,0.469
083064,Sekolah Tinggi Teknik Bima,1650,5,1.000,1.077,0.000,0.000,0.469
093142,Sekolah Tinggi Teknologi Nusantara Indonesia,1651,5,0.629,1.174,0.195,0.004,0.469
073082,Sekolah Tinggi Ilmu Ekonomi Widya Dharma,1652,5,1.329,0.781,0.027,0.000,0.468
093140,Sekolah Tinggi Ilmu Kesehatan Bina Bangsa Majene,1653,5,0.218,1.154,0.000,0.450,0.467
133030,STIKES Darussalam Lhokseumawe,1654,5,0.100,1.598,0.008,0.150,0.467
083020,Sekolah Tinggi Ilmu Ekonomi Nasional,1655,5,1.000,1.061,0.000,0.000,0.465
103018,Sekolah Tinggi Ilmu Ekonomi Perdagangan,1656,5,1.000,1.040,0.018,0.000,0.465
033192,Sekolah Tinggi Ilmu Kesehatan Sismadi,1657,5,0.571,1.398,0.000,0.000,0.464
043316,Sekolah Tinggi Ilmu Ekonomi Dwimulya,1658,5,0.914,1.122,0.001,0.000,0.463
043305,STMIK Pasim Sukabumi,1659,5,1.000,1.051,0.000,0.000,0.463
093023,STITEK Dharma Yadi Makassar,1660,5,1.621,0.373,0.000,0.150,0.462
123021,Sekolah Tinggi Perikanan Hatta-sjahrir,1661,5,0.788,1.204,0.014,0.000,0.462
123051,Sekolah Tinggi Pertanian Labuha,1662,5,0.000,1.797,0.051,0.000,0.462
073129,STKIP Bina Insan Mandiri,1663,5,0.045,1.756,0.030,0.019,0.461
093061,Sekolah Tinggi Ilmu Ekonomi Yapti Jeneponto,1664,5,0.644,1.198,0.128,0.000,0.460
023127,STIA Bala Putra Dewa,1665,5,1.000,1.041,0.000,0.000,0.460
033011,STKIP Purnama,1666,5,0.644,1.325,0.000,0.000,0.460
072020,Institut Sains Dan Teknologi Annuqayah,1667,5,0.800,1.200,0.000,0.000,0.460
061045,Universitas Nahdlatul Ulama Purwokerto,1668,5,0.691,1.200,0.058,0.022,0.459
023038,Sekolah Tinggi Ilmu Teknik Serasan,1669,5,0.792,1.200,0.000,0.000,0.458
033088,STMIK Muhammadiyah Jakarta,1670,5,0.231,1.200,0.000,0.372,0.458
043180,Sekolah Tinggi Ilmu Ekonomi Bisma Lepisi,1671,5,0.820,1.172,0.001,0.000,0.457
033034,STMIK Kuwera,1672,5,0.286,1.600,0.000,0.000,0.457
111005,Universitas Tridharma,1673,5,0.771,1.198,0.012,0.000,0.457
033139,Sekolah Tinggi Ilmu Kesehatan Pamentas,1674,5,0.781,1.200,0.000,0.000,0.456
073050,STKIP PGRI Sampang,1675,5,1.000,1.024,0.000,0.000,0.456
073184,Sekolah Tinggi Ilmu Kesehatan Rajekwesi Bojonegoro,1676,5,0.736,1.058,0.151,0.020,0.455
123068,STKIP Ita Wotu Nusa,1677,5,0.773,1.200,0.000,0.000,0.455
043364,Sekolah Tinggi Ilmu Hukum dan Politik Pelopor Bangsa,1678,5,0.771,1.200,0.000,0.000,0.454
